ID ,SC,RAZON,FIn,Fter,TASA,ZC,TM,Pt,CP,EC,Md,ISPknn,Plz,MFCZ
1,ACTIVO,RECUPERACION,2023-01-04 00:00:00,2025-12-31 00:00:00,26,TIJUANA,ICE,UBER,22163,29,2023,7393.040857,-0.527833046,-1.030508855
2,TERMINADO,TERMINADO,2023-01-04 00:00:00,2025-10-15 00:00:00,26,TIJUANA,ICE,UBER,22216,29,2021,8104.49225,-1.002078664,-0.522288333
3,TERMINADO,TERMINADO,2023-01-04 00:00:00,2026-01-03 00:00:00,26,CDMX Y AREA METROPOLITANA,ICE,UBER,9880,37,2023,7867.317048,-0.527833046,-0.858564614
4,ACTIVO,ACTIVO,2023-01-04 00:00:00,2025-12-31 00:00:00,26,CDMX Y AREA METROPOLITANA,ICE,UBER,57500,26,2023,7867.317048,-0.527833046,-0.858564614
5,ACTIVO,ACTIVO,2023-01-11 00:00:00,2026-01-07 00:00:00,26,CDMX Y AREA METROPOLITANA,ICE,UBER,55238,41,2023,8479.842333,-0.527833046,-1.389829765
6,ACTIVO,ACTIVO,2023-01-11 00:00:00,2026-01-07 00:00:00,26,TIJUANA,ICE,UBER,22667,25,2023,7393.040857,-0.527833046,-1.030825543
7,ACTIVO,RECUPERACION,2023-01-11 00:00:00,2026-01-07 00:00:00,26,TIJUANA,ICE,UBER,22564,35,2023,4813.151333,-0.527833046,-1.037299963
8,QUEBRANTADO,DEMANDA,2023-01-11 00:00:00,2025-12-24 00:00:00,26,JALISCO,ICE,UBER,44259,44,2023,7164.64781,-0.646394451,-1.02548783
9,ACTIVO,ACTIVO,2023-01-11 00:00:00,2026-01-07 00:00:00,26,TIJUANA,ICE,UBER,22237,48,2023,4813.151333,-0.527833046,-1.037299963
10,TERMINADO,TERMINADO,2023-01-11 00:00:00,2026-01-27 00:00:00,26,CDMX Y AREA METROPOLITANA,ICE,UBER,5010,45,2023,7867.317048,-0.527833046,-0.859608894
11,TERMINADO,TERMINADO,2023-01-18 00:00:00,2025-12-04 00:00:00,26,CDMX Y AREA METROPOLITANA,ICE,UBER,53658,45,2023,9375.409524,-0.527833046,-1.117557439
12,TERMINADO,TERMINADO,2023-01-18 00:00:00,2026-02-06 00:00:00,26,JALISCO,ICE,UBER,45188,43,2023,9320.167095,-0.527833046,-1.23433978
13,TERMINADO,TERMINADO,2023-01-18 00:00:00,2026-02-04 00:00:00,26,JALISCO,ICE,UBER,45567,58,2022,8601.805048,-0.527833046,-0.893120332
14,ACTIVO,ACTIVO,2023-01-18 00:00:00,2026-01-14 00:00:00,26,CDMX Y AREA METROPOLITANA,ICE,UBER,1560,45,2022,6857.921048,-0.527833046,-1.375410094
15,ACTIVO,ACTIVO,2023-01-25 00:00:00,2026-01-21 00:00:00,26,JALISCO,ICE,UBER,48290,26,2023,7164.64781,-0.527833046,-1.025466932
16,ACTIVO,ACTIVO,2023-01-25 00:00:00,2026-01-21 00:00:00,26,CDMX Y AREA METROPOLITANA,ICE,UBER,7188,43,2022,6857.921048,-0.527833046,-1.375410094
17,ACTIVO,ACTIVO,2023-01-25 00:00:00,2026-01-21 00:00:00,26,TIJUANA,ICE,UBER,22210,27,2023,6968.744857,-0.527833046,-0.733015212
18,ACTIVO,ACTIVO,2023-01-25 00:00:00,2026-01-21 00:00:00,26,JALISCO,ICE,UBER,45615,34,2023,6949.494333,-0.527833046,-0.728543732
19,ACTIVO,ACTIVO,2023-01-25 00:00:00,2026-01-21 00:00:00,26,JALISCO,ICE,UBER,44760,41,2023,6949.494333,-0.527833046,-0.728543732
20,ACTIVO,ACTIVO,2023-02-01 00:00:00,2026-01-28 00:00:00,26,JALISCO,ICE,UBER,48280,24,2022,7145.476167,-0.527833046,-1.205357379
21,QUEBRANTADO,DEMANDA,2023-02-01 00:00:00,2024-11-06 00:00:00,26,JALISCO,ICE,UBER,44270,38,2022,6317.939714,-2.484096221,-1.355997102
22,TERMINADO,TERMINADO,2023-02-08 00:00:00,2025-07-17 00:00:00,26,CDMX Y AREA METROPOLITANA,ICE,UBER,55430,54,2023,8719.086333,-0.527833046,-0.462988477
23,ACTIVO,ACTIVO,2023-02-15 00:00:00,2026-02-11 00:00:00,26,NUEVO LEON,ICE,UBER,66073,55,2023,7370.324714,-0.527833046,-0.550048405
24,ACTIVO,ACTIVO,2023-02-22 00:00:00,2026-02-18 00:00:00,26,JALISCO,ICE,UBER,48318,32,2023,7732.905667,-0.527833046,-1.066820804
25,ACTIVO,ACTIVO,2023-03-01 00:00:00,2026-02-25 00:00:00,27,JALISCO,ICE,UBER,45875,39,2022,8007.317048,-0.527833046,-1.210606129
26,ACTIVO,PERDIDA O ROBO TOTAL,2023-03-08 00:00:00,2026-03-04 00:00:00,27,NUEVO LEON,ICE,UBER,66052,47,2023,6825.647,-0.527833046,-1.209283731
27,ACTIVO,ACTIVO,2023-03-15 00:00:00,2026-03-11 00:00:00,27,NUEVO LEON,ICE,UBER,66219,30,2023,7947.866952,-0.527833046,-1.295957353
28,ACTIVO,ACTIVO,2023-03-22 00:00:00,2026-03-18 00:00:00,27,CDMX Y AREA METROPOLITANA,HEV,UBER,57500,44,2023,9343.715571,-0.527833046,-0.176770199
29,TERMINADO,TERMINADO,2023-03-30 00:00:00,2025-06-14 00:00:00,27,TIJUANA,ICE,UBER,22163,32,2021,7503.7375,-1.891289198,-2.003458865
30,ACTIVO,ACTIVO,2023-03-30 00:00:00,2026-03-26 00:00:00,27,NUEVO LEON,HEV,UBER,67200,55,2023,7222.865952,-0.527833046,-0.250797456
31,ACTIVO,RECUPERACION,2023-03-30 00:00:00,2026-03-26 00:00:00,27,CDMX Y AREA METROPOLITANA,ICE,UBER,3660,61,2023,8397.938774,-0.527833046,-1.203085039
32,ACTIVO,ACTIVO,2023-04-12 00:00:00,2026-04-08 00:00:00,27,CDMX Y AREA METROPOLITANA,HEV,UBER,9060,50,2023,6982.080333,-0.527833046,-0.378687982
33,TERMINADO,PERDIDA O ROBO TOTAL,2023-04-12 00:00:00,2024-09-04 00:00:00,27,CDMX Y AREA METROPOLITANA,EV,UBER,1610,26,2023,8963.427181,-0.527833046,1.074868164
34,ACTIVO,ACTIVO,2023-04-12 00:00:00,2026-04-08 00:00:00,27,TIJUANA,ICE,UBER,22254,44,2023,9545.008857,-0.527833046,-1.180560341
35,ACTIVO,ACTIVO,2023-04-19 00:00:00,2026-04-15 00:00:00,27,QUERETARO,ICE,UBER,76116,45,2023,9545.008857,-0.527833046,-1.180382772
36,ACTIVO,PERDIDA O ROBO TOTAL,2023-04-26 00:00:00,2026-04-22 00:00:00,27,CDMX Y AREA METROPOLITANA,ICE,UBER,16810,45,2024,9320.932714,-0.527833046,-1.203085039
37,ACTIVO,ACTIVO,2023-05-03 00:00:00,2026-04-29 00:00:00,27,CDMX Y AREA METROPOLITANA,ICE,UBER,7119,41,2023,9327.579476,-0.527833046,-1.203085039
38,REESTRUCTURADO,ACTIVO,2023-05-25 00:00:00,2024-04-01 00:00:00,27,TIJUANA,HEV,UBER,22235,41,2023,7133.709,-0.527833046,-1.671982812
39,ACTIVO,ACTIVO,2023-06-01 00:00:00,2026-05-28 00:00:00,27,CDMX Y AREA METROPOLITANA,ICE,UBER,15850,50,2023,9740.548667,-0.527833046,-0.303523419
40,ACTIVO,PERDIDA O ROBO TOTAL,2023-06-01 00:00:00,2026-05-28 00:00:00,27,JALISCO,ICE,UBER,44970,29,2023,6773.066,-0.527833046,-0.685670309
41,TERMINADO,TERMINADO,2023-06-01 00:00:00,2025-10-24 00:00:00,27,JALISCO,ICE,UBER,45200,35,2023,8018.30719,-0.527833046,-0.320179367
42,ACTIVO,ACTIVO,2023-06-01 00:00:00,2026-05-28 00:00:00,27,CDMX Y AREA METROPOLITANA,ICE,UBER,42186,54,2023,9301.3615,-0.527833046,-1.307511074
43,ACTIVO,ACTIVO,2023-06-07 00:00:00,2026-06-03 00:00:00,27,CDMX Y AREA METROPOLITANA,ICE,UBER,8100,38,2023,7746.303,-0.527833046,-0.616801404
44,ACTIVO,RECUPERACION,2023-06-14 00:00:00,2025-06-18 00:00:00,27,CDMX Y AREA METROPOLITANA,ICE,UBER,52926,37,2020,7187.306798,-2.039490954,-2.06895598
45,ACTIVO,ACTIVO,2023-06-14 00:00:00,2026-06-10 00:00:00,27,CDMX Y AREA METROPOLITANA,ICE,UBER,53730,45,2023,9320.932714,-0.527833046,-1.203085039
46,ACTIVO,ACTIVO,2023-06-28 00:00:00,2026-06-24 00:00:00,27,CDMX Y AREA METROPOLITANA,ICE,UBER,4420,24,2023,7718.433881,-0.527833046,-1.203085039
47,ACTIVO,RECUPERACION,2023-06-30 00:00:00,2027-06-25 00:00:00,27,CDMX Y AREA METROPOLITANA,EV,UBER,54920,44,2023,8185.438667,1.013465213,0.698325639
48,ACTIVO,ACTIVO,2023-07-05 00:00:00,2026-07-01 00:00:00,27,TIJUANA,ICE,UBER,22234,42,2023,10437.11775,-0.527833046,-0.286950942
49,ACTIVO,RECUPERACION,2023-07-12 00:00:00,2026-07-08 00:00:00,27,BAJA CALIFORNIA,ICE,UBER,22204,42,2023,9323.376667,-0.527833046,-0.289091688
50,CANCELADO,RECUPERACION,2023-07-14 00:00:00,2025-02-10 00:00:00,27,CDMX Y AREA METROPOLITANA,EV,UBER,54180,40,2023,8002.148,-2.839780435,0.698325639
51,ACTIVO,ACTIVO,2023-07-19 00:00:00,2026-07-15 00:00:00,28,CDMX Y AREA METROPOLITANA,ICE,UBER,11529,64,2023,8524.404,-0.527833046,-0.468556063
52,ACTIVO,ACTIVO,2023-07-27 00:00:00,2026-07-23 00:00:00,28,CDMX Y AREA METROPOLITANA,ICE,UBER,1400,29,2023,10685.79452,-0.527833046,-0.810857408
53,ACTIVO,ACTIVO,2023-08-02 00:00:00,2026-07-29 00:00:00,28,CDMX Y AREA METROPOLITANA,ICE,UBER,1560,55,2023,9039.521417,-0.527833046,-0.311917071
54,ACTIVO,ACTIVO,2023-08-02 00:00:00,2026-07-29 00:00:00,29,JALISCO,ICE,UBER,45422,32,2023,7292.690417,-0.527833046,-0.283607214
55,ACTIVO,ACTIVO,2023-08-10 00:00:00,2026-08-06 00:00:00,28,CDMX Y AREA METROPOLITANA,ICE,UBER,54910,28,2023,8648.239333,-0.527833046,-0.616778357
56,ACTIVO,ACTIVO,2023-08-10 00:00:00,2026-08-06 00:00:00,28,CDMX Y AREA METROPOLITANA,HEV,UBER,53427,52,2023,7805.437,-0.527833046,-0.197895715
57,ACTIVO,ACTIVO,2023-08-10 00:00:00,2026-08-06 00:00:00,29,NUEVO LEON,ICE,UBER,66612,60,2023,9320.167095,-0.527833046,-1.2305578
58,ACTIVO,ACTIVO,2023-08-17 00:00:00,2026-08-13 00:00:00,29,NUEVO LEON,ICE,UBER,66118,41,2023,10421.90814,-0.527833046,-0.327852471
59,ACTIVO,ACTIVO,2023-08-24 00:00:00,2026-08-20 00:00:00,28,CDMX Y AREA METROPOLITANA,ICE,UBER,9780,42,2023,9100.119833,-0.527833046,-0.303500372
60,REESTRUCTURADO,ACTIVO,2023-08-30 00:00:00,2025-03-18 00:00:00,28,CDMX Y AREA METROPOLITANA,ICE,UBER,76884,38,2024,7320.567083,-0.527833046,-1.762867948
61,ACTIVO,ACTIVO,2023-08-30 00:00:00,2026-08-26 00:00:00,28,CDMX Y AREA METROPOLITANA,ICE,UBER,4369,47,2023,7778.212583,-0.527833046,-0.512352322
62,ACTIVO,ACTIVO,2023-08-30 00:00:00,2026-08-26 00:00:00,28,CDMX Y AREA METROPOLITANA,ICE,UBER,56386,51,2023,8357.928381,-0.527833046,-1.215228071
63,QUEBRANTADO,DEMANDA,2023-08-31 00:00:00,2025-10-07 00:00:00,28,CDMX Y AREA METROPOLITANA,EV,UBER,14427,53,2023,6960.562571,-2.039490954,0.593405587
64,ACTIVO,ACTIVO,2023-09-06 00:00:00,2026-09-02 00:00:00,28,CDMX Y AREA METROPOLITANA,ICE,UBER,57610,59,2024,6942.642571,-0.527833046,-0.981103574
65,ACTIVO,ACTIVO,2023-09-06 00:00:00,2026-09-02 00:00:00,29,NUEVO LEON,ICE,UBER,66655,35,2023,9836.893762,-0.527833046,-0.327852471
66,TERMINADO,TERMINADO,2023-09-13 00:00:00,2025-07-05 00:00:00,28,CDMX Y AREA METROPOLITANA,ICE,UBER,56304,31,2020,8104.49225,-1.832008496,-0.522755961
